elapsed_sec	epoch	label	pid	rss_kb	pcpu	pmem	fds
1553	1784113751	mapping_manager	667575	65944	27.2	0.1	19
1553	1784113751	safety	667592	23780	1.5	0.0	19
1584	1784113782	workbench	667581	188048	53.5	0.2	19
1584	1784113782	rviz	667863	226928	45.1	0.3	50
1584	1784113782	sim	667881	68336	40.9	0.1	19
1584	1784113782	rtabmap	667579	604248	38.6	0.9	20
1584	1784113782	map_products	667573	403552	47.3	0.6	19
1584	1784113782	mapping_manager	667575	65944	27.1	0.1	19
1584	1784113782	safety	667592	23780	1.5	0.0	19
1614	1784113812	workbench	667581	188512	53.9	0.2	19
1614	1784113812	rviz	667863	227316	45.2	0.3	50
1614	1784113812	sim	667881	68336	40.8	0.1	19
1614	1784113812	rtabmap	667579	609720	38.5	0.9	20
1614	1784113812	map_products	667573	404016	47.5	0.6	19
1614	1784113812	mapping_manager	667575	65920	27.0	0.1	19
1614	1784113812	safety	667592	23780	1.5	0.0	19
1644	1784113842	workbench	667581	188512	54.4	0.2	19
1644	1784113842	rviz	667863	232372	45.3	0.3	50
1644	1784113842	sim	667881	68336	40.8	0.1	19
1644	1784113842	rtabmap	667579	614636	38.5	0.9	20
1644	1784113842	map_products	667573	404544	47.8	0.6	19
1644	1784113842	mapping_manager	667575	65920	27.0	0.1	19
1644	1784113842	safety	667592	23780	1.5	0.0	19
1675	1784113873	workbench	667581	189304	54.8	0.2	19
1675	1784113873	rviz	667863	229760	45.3	0.3	50
1675	1784113873	sim	667881	68336	40.7	0.1	19
1675	1784113873	rtabmap	667579	618664	38.4	0.9	20
1675	1784113873	map_products	667573	405336	48.0	0.6	19
1675	1784113873	mapping_manager	667575	65920	27.0	0.1	19
1675	1784113873	safety	667592	23780	1.4	0.0	19
1705	1784113903	workbench	667581	190624	55.2	0.2	19
1705	1784113903	rviz	667863	228012	45.4	0.3	50
1705	1784113903	sim	667881	68336	40.7	0.1	19
1705	1784113903	rtabmap	667579	623612	38.3	0.9	20
1705	1784113903	map_products	667573	405864	48.3	0.6	19
1705	1784113903	mapping_manager	667575	65920	26.9	0.1	19
1705	1784113903	safety	667592	23780	1.4	0.0	19
1736	1784113934	workbench	667581	190624	55.6	0.2	19
1736	1784113934	rviz	667863	232744	45.4	0.3	50
1736	1784113934	sim	667881	68336	40.6	0.1	19
1736	1784113934	rtabmap	667579	630024	38.2	0.9	20
1736	1784113934	map_products	667573	406392	48.5	0.6	19
1736	1784113934	mapping_manager	667575	65920	26.9	0.1	19
1736	1784113934	safety	667592	23780	1.4	0.0	19
1766	1784113964	workbench	667581	191944	56.0	0.2	19
1766	1784113964	rviz	667863	240188	45.5	0.3	50
1766	1784113964	sim	667881	68336	40.5	0.1	19
1766	1784113964	rtabmap	667579	632100	38.2	0.9	20
1766	1784113964	map_products	667573	406920	48.8	0.6	19
1766	1784113964	mapping_manager	667575	65920	26.8	0.1	19
1766	1784113964	safety	667592	23780	1.4	0.0	19
1797	1784113995	workbench	667581	191944	56.5	0.2	19
1797	1784113995	rviz	667863	235544	45.5	0.3	50
1797	1784113995	sim	667881	68512	40.5	0.1	19
1797	1784113995	rtabmap	667579	635964	38.0	0.9	20
1797	1784113995	map_products	667573	407448	49.1	0.6	19
1797	1784113995	mapping_manager	667575	65920	26.8	0.1	19
1797	1784113995	safety	667592	23780	1.4	0.0	19
1827	1784114025	workbench	667581	191944	56.8	0.2	19
1827	1784114025	rviz	667863	240116	45.6	0.3	50
1827	1784114025	sim	667881	68336	40.4	0.1	19
1827	1784114025	rtabmap	667579	641468	37.9	0.9	20
1827	1784114025	map_products	667573	407976	49.4	0.6	19
1827	1784114025	mapping_manager	667575	65920	26.7	0.1	19
1827	1784114025	safety	667592	23780	1.4	0.0	19
